registry_id,registry_status,source_basis,municipality_id,municipality_key,name_en,name_ar,name_raw_en_page,name_raw_ar_page,governorate_en,district_en,dglac_source_url_en,dglac_source_url_ar,dglac_detail_status,dglac_detail_fetched_at,dglac_detail_name,email,website,address_summary,latitude,longitude,has_coordinates,has_public_form,form_url,form_status,form_scope_assessment,official_website_status,official_social_status,municipal_app_status,complaint_form_status,news_trace_status,civic_tracker_status,public_forum_status,confirmed_source_urls,candidate_source_urls,candidate_source_families,extracted_contacts,complaint_or_service_workflow,service_scope,incident_or_resolution_signals,best_source_confidence,source_review_required,research_rank,research_tier,batch_id,batch_priority,priority_score,recommended_next_action,reason_codes,official_search_queries,social_search_queries,news_search_queries,event_count,event_ids,event_sectors,event_routing_entities,moim_2025_match_status,moim_2025_match_method,moim_2025_match_score,moim_2025_election_ids,moim_2025_municipality_name_ar,moim_2025_governorate_ar,moim_2025_district_ar,moim_2025_council_members,moim_2025_records_seen,moim_2025_source_pdf_ids,moim_2025_source_pdf_urls,moim_2025_extraction_confidence,data_quality_flags,completeness_score,last_registry_build_at,notes,townhall_lat,townhall_lon,townhall_osm_id,townhall_osm_type,townhall_name_ar,townhall_name_en,townhall_phone,townhall_website,townhall_email,townhall_match_method
MUN-DGLAC-63052,active_in_local_registry,dglac_official_directory,63052,حوبش,,حوبش,حوبش,حوبش,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,حوبش,,,,34.4974452,36.1188777,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,24,T2_official_channel_gap,,,93,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;missing_english_name;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""حوبش"" municipality Lebanon official website | ""حوبش"" municipality complaint form | ""حوبش"" بلدية شكوى | ""حوبش"" بلدية الموقع الرسمي","site:facebook.com ""حوبش"" municipality | site:facebook.com ""حوبش"" بلدية | site:instagram.com ""حوبش"" municipality | site:x.com ""حوبش"" municipality","""حوبش"" municipality repair Lebanon | ""حوبش"" بلدية اصلاح | NNA ""حوبش"" municipality | ""حوبش"" water electricity waste road Lebanon",0,,,,not_seen_in_text_extracted_moim,,,,,,,,,,,,missing_english_name|missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,50,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54435,active_in_local_registry,dglac_official_directory,54435,ad_daghlah,Ad Daghlah,الدغلة,Ad Daghlah,الدغلة,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Ad Daghlah,,,,34.5803970,36.2093125,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,43,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Ad Daghlah"" municipality Lebanon official website | ""Ad Daghlah"" municipality complaint form | ""الدغلة"" بلدية شكوى | ""الدغلة"" بلدية الموقع الرسمي","site:facebook.com ""Ad Daghlah"" municipality | site:facebook.com ""الدغلة"" بلدية | site:instagram.com ""Ad Daghlah"" municipality | site:x.com ""Ad Daghlah"" municipality","""Ad Daghlah"" municipality repair Lebanon | ""الدغلة"" بلدية اصلاح | NNA ""Ad Daghlah"" municipality | ""Ad Daghlah"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-38ca5f65dc62,الدغلة,عكار,عكار,9,9,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-53868,active_in_local_registry,dglac_official_directory,53868,aidmoon_shekhlar,Aidmoon-Shekhlar,عيدمون-شيخلار,Aidmoon-Shekhlar,عيدمون-شيخلار,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Aidmoon-Shekhlar,,,,34.6001414,36.2800824,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,44,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Aidmoon-Shekhlar"" municipality Lebanon official website | ""Aidmoon-Shekhlar"" municipality complaint form | ""عيدمون-شيخلار"" بلدية شكوى | ""عيدمون-شيخلار"" بلدية الموقع الرسمي","site:facebook.com ""Aidmoon-Shekhlar"" municipality | site:facebook.com ""عيدمون-شيخلار"" بلدية | site:instagram.com ""Aidmoon-Shekhlar"" municipality | site:x.com ""Aidmoon-Shekhlar"" municipality","""Aidmoon-Shekhlar"" municipality repair Lebanon | ""عيدمون-شيخلار"" بلدية اصلاح | NNA ""Aidmoon-Shekhlar"" municipality | ""Aidmoon-Shekhlar"" water electricity waste road Lebanon",0,,,,not_seen_in_text_extracted_moim,,,,,,,,,,,,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54111,active_in_local_registry,dglac_official_directory,54111,ain_yaaqub,Ain Yaaqub,عين يعقوب,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Ain Yaaqub,,,,34.5224561,36.2011080,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,47,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Ain Yaaqub"" municipality Lebanon official website | ""Ain Yaaqub"" municipality complaint form | ""عين يعقوب"" بلدية شكوى | ""عين يعقوب"" بلدية الموقع الرسمي","site:facebook.com ""Ain Yaaqub"" municipality | site:facebook.com ""عين يعقوب"" بلدية | site:instagram.com ""Ain Yaaqub"" municipality | site:x.com ""Ain Yaaqub"" municipality","""Ain Yaaqub"" municipality repair Lebanon | ""عين يعقوب"" بلدية اصلاح | NNA ""Ain Yaaqub"" municipality | ""Ain Yaaqub"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-e80d591a10dd,عين يعقوب,عكار,عكار,12,14,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54057,active_in_local_registry,dglac_official_directory,54057,ain_al_dhahab,Ain al-Dhahab,عين الذهب,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Ain al-Dhahab,,,,33.2489408,35.2300687,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,45,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Ain al-Dhahab"" municipality Lebanon official website | ""Ain al-Dhahab"" municipality complaint form | ""عين الذهب"" بلدية شكوى | ""عين الذهب"" بلدية الموقع الرسمي","site:facebook.com ""Ain al-Dhahab"" municipality | site:facebook.com ""عين الذهب"" بلدية | site:instagram.com ""Ain al-Dhahab"" municipality | site:x.com ""Ain al-Dhahab"" municipality","""Ain al-Dhahab"" municipality repair Lebanon | ""عين الذهب"" بلدية اصلاح | NNA ""Ain al-Dhahab"" municipality | ""Ain al-Dhahab"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-ae92e128c461,عين الذهب,عكار,عكار,18,33,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54084,active_in_local_registry,dglac_official_directory,54084,ain_al_zayt,Ain al-Zayt,عين الزيت,Ain al-Zayt,عين الزيت,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Ain al-Zayt,,,,34.5889815,36.1976962,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,46,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Ain al-Zayt"" municipality Lebanon official website | ""Ain al-Zayt"" municipality complaint form | ""عين الزيت"" بلدية شكوى | ""عين الزيت"" بلدية الموقع الرسمي","site:facebook.com ""Ain al-Zayt"" municipality | site:facebook.com ""عين الزيت"" بلدية | site:instagram.com ""Ain al-Zayt"" municipality | site:x.com ""Ain al-Zayt"" municipality","""Ain al-Zayt"" municipality repair Lebanon | ""عين الزيت"" بلدية اصلاح | NNA ""Ain al-Zayt"" municipality | ""Ain al-Zayt"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-749b85d86db1,عين الزيت,عكار,عكار,12,23,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-53841,active_in_local_registry,dglac_official_directory,53841,akkar_el_atiqa,Akkar el-Atiqa,عكار العتيقة,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Akkar el-Atiqa,,,,34.5324928,36.2452880,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,48,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Akkar el-Atiqa"" municipality Lebanon official website | ""Akkar el-Atiqa"" municipality complaint form | ""عكار العتيقة"" بلدية شكوى | ""عكار العتيقة"" بلدية الموقع الرسمي","site:facebook.com ""Akkar el-Atiqa"" municipality | site:facebook.com ""عكار العتيقة"" بلدية | site:instagram.com ""Akkar el-Atiqa"" municipality | site:x.com ""Akkar el-Atiqa"" municipality","""Akkar el-Atiqa"" municipality repair Lebanon | ""عكار العتيقة"" بلدية اصلاح | NNA ""Akkar el-Atiqa"" municipality | ""Akkar el-Atiqa"" water electricity waste road Lebanon",0,,,,not_seen_in_text_extracted_moim,,,,,,,,,,,,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54381,active_in_local_registry,dglac_official_directory,54381,akroum,Akroum,اكروم,Akroum,اكروم,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Akroum,,,,34.5441285,36.3636532,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,49,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Akroum"" municipality Lebanon official website | ""Akroum"" municipality complaint form | ""اكروم"" بلدية شكوى | ""اكروم"" بلدية الموقع الرسمي","site:facebook.com ""Akroum"" municipality | site:facebook.com ""اكروم"" بلدية | site:instagram.com ""Akroum"" municipality | site:x.com ""Akroum"" municipality","""Akroum"" municipality repair Lebanon | ""اكروم"" بلدية اصلاح | NNA ""Akroum"" municipality | ""Akroum"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-a829adba8dbc,اكروم,عكار,عكار,15,15,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54471,active_in_local_registry,dglac_official_directory,54471,al_aamair_w_rajm_issa,Al Aamair w Rajm Issa,العماير ورجم عيسى,Al Aamair w Rajm Issa,العماير ورجم عيسى,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Aamair w Rajm Issa,,,,34.6197222,36.3838889,yes,yes,https://www.dglac.gov.lb/municipality-form,needs_review,generic_dglac_form_needs_municipality_binding_verification,not_found,unknown,unknown,needs_review,unknown,unknown,unknown,,,,,,,,,no,716,T3_form_present_needs_corroboration,,,70,verify_dglac_form_then_social_news_search,dglac_form_present_verify_workflow;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Aamair w Rajm Issa"" municipality Lebanon official website | ""Al Aamair w Rajm Issa"" municipality complaint form | ""العماير ورجم عيسى"" بلدية شكوى | ""العماير ورجم عيسى"" بلدية الموقع الرسمي","site:facebook.com ""Al Aamair w Rajm Issa"" municipality | site:facebook.com ""العماير ورجم عيسى"" بلدية | site:instagram.com ""Al Aamair w Rajm Issa"" municipality | site:x.com ""Al Aamair w Rajm Issa"" municipality","""Al Aamair w Rajm Issa"" municipality repair Lebanon | ""العماير ورجم عيسى"" بلدية اصلاح | NNA ""Al Aamair w Rajm Issa"" municipality | ""Al Aamair w Rajm Issa"" water electricity waste road Lebanon",0,,,,matched_to_dglac,reconciliation_auto_exact_token_set_ar,0.992,MOIM-2025-bbe9307b3bb0,رجم عيسى+ العماير,عكار,عكار,12,12,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|generic_dglac_form_only|official_social_unknown|no_event_evidence,70,2026-05-29,Official DGLAC detail fetched. Generic DGLAC municipality-form link present; not a verified local portal.,,,,,,,,,,
MUN-DGLAC-53832,active_in_local_registry,dglac_official_directory,53832,al_aboudiyeh,Al Aboudiyeh,العبودية,Al Aboudiyeh,العبودية,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Aboudiyeh,,,,34.6364359,36.1177320,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,50,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Aboudiyeh"" municipality Lebanon official website | ""Al Aboudiyeh"" municipality complaint form | ""العبودية"" بلدية شكوى | ""العبودية"" بلدية الموقع الرسمي","site:facebook.com ""Al Aboudiyeh"" municipality | site:facebook.com ""العبودية"" بلدية | site:instagram.com ""Al Aboudiyeh"" municipality | site:x.com ""Al Aboudiyeh"" municipality","""Al Aboudiyeh"" municipality repair Lebanon | ""العبودية"" بلدية اصلاح | NNA ""Al Aboudiyeh"" municipality | ""Al Aboudiyeh"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-326a89522f01,العبودية,عكار,عكار,15,15,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54039,active_in_local_registry,dglac_official_directory,54039,al_awainat,Al Awainat,العوينات,Al Awainat,العوينات,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Awainat,,,,34.6247668,36.3033699,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,51,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Awainat"" municipality Lebanon official website | ""Al Awainat"" municipality complaint form | ""العوينات"" بلدية شكوى | ""العوينات"" بلدية الموقع الرسمي","site:facebook.com ""Al Awainat"" municipality | site:facebook.com ""العوينات"" بلدية | site:instagram.com ""Al Awainat"" municipality | site:x.com ""Al Awainat"" municipality","""Al Awainat"" municipality repair Lebanon | ""العوينات"" بلدية اصلاح | NNA ""Al Awainat"" municipality | ""Al Awainat"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-0ca78cd9442c,العوينات,عكار,عكار,9,18,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-53580,active_in_local_registry,dglac_official_directory,53580,al_bireh,Al Bireh,البيره,Al Bireh,البيره,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Bireh,,,,34.5874810,36.2331123,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,53,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Bireh"" municipality Lebanon official website | ""Al Bireh"" municipality complaint form | ""البيره"" بلدية شكوى | ""البيره"" بلدية الموقع الرسمي","site:facebook.com ""Al Bireh"" municipality | site:facebook.com ""البيره"" بلدية | site:instagram.com ""Al Bireh"" municipality | site:x.com ""Al Bireh"" municipality","""Al Bireh"" municipality repair Lebanon | ""البيره"" بلدية اصلاح | NNA ""Al Bireh"" municipality | ""Al Bireh"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-69646479d1f0,البيره,عكار,عكار,15,33,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-53517,active_in_local_registry,dglac_official_directory,53517,al_burj,Al Burj,البرج,Al Burj,البرج,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Burj,,,,34.5332219,36.1868225,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,54,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Burj"" municipality Lebanon official website | ""Al Burj"" municipality complaint form | ""البرج"" بلدية شكوى | ""البرج"" بلدية الموقع الرسمي","site:facebook.com ""Al Burj"" municipality | site:facebook.com ""البرج"" بلدية | site:instagram.com ""Al Burj"" municipality | site:x.com ""Al Burj"" municipality","""Al Burj"" municipality repair Lebanon | ""البرج"" بلدية اصلاح | NNA ""Al Burj"" municipality | ""Al Burj"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-742cab232b85,البرج,عكار,عكار,12,26,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54507,active_in_local_registry,dglac_official_directory,54507,al_farid,Al Farid,الفرض,Al Farid,الفرض,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Farid,,,,34.6281133,36.3757083,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,56,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Farid"" municipality Lebanon official website | ""Al Farid"" municipality complaint form | ""الفرض"" بلدية شكوى | ""الفرض"" بلدية الموقع الرسمي","site:facebook.com ""Al Farid"" municipality | site:facebook.com ""الفرض"" بلدية | site:instagram.com ""Al Farid"" municipality | site:x.com ""Al Farid"" municipality","""Al Farid"" municipality repair Lebanon | ""الفرض"" بلدية اصلاح | NNA ""Al Farid"" municipality | ""Al Farid"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-ba709d7f5f17,الفرض,عكار,عكار,9,9,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-53670,active_in_local_registry,dglac_official_directory,53670,al_hakour,Al Hakour,الحاكور,Al Hakour,الحاكور,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Hakour,,,,34.5257399,36.0557610,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,57,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Hakour"" municipality Lebanon official website | ""Al Hakour"" municipality complaint form | ""الحاكور"" بلدية شكوى | ""الحاكور"" بلدية الموقع الرسمي","site:facebook.com ""Al Hakour"" municipality | site:facebook.com ""الحاكور"" بلدية | site:instagram.com ""Al Hakour"" municipality | site:x.com ""Al Hakour"" municipality","""Al Hakour"" municipality repair Lebanon | ""الحاكور"" بلدية اصلاح | NNA ""Al Hakour"" municipality | ""Al Hakour"" water electricity waste road Lebanon",0,,,,not_seen_in_text_extracted_moim,,,,,,,,,,,,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-54552,active_in_local_registry,dglac_official_directory,54552,al_hishah,Al Hishah,الهيشة,Al Hishah,الهيشة,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Hishah,,,,34.6364930,36.3648775,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,58,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Hishah"" municipality Lebanon official website | ""Al Hishah"" municipality complaint form | ""الهيشة"" بلدية شكوى | ""الهيشة"" بلدية الموقع الرسمي","site:facebook.com ""Al Hishah"" municipality | site:facebook.com ""الهيشة"" بلدية | site:instagram.com ""Al Hishah"" municipality | site:x.com ""Al Hishah"" municipality","""Al Hishah"" municipality repair Lebanon | ""الهيشة"" بلدية اصلاح | NNA ""Al Hishah"" municipality | ""Al Hishah"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-1c9996d3e6d0,الهيشة,عكار,عكار,12,12,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
MUN-DGLAC-63305,active_in_local_registry,dglac_official_directory,63305,al_hissa,Al Hissa,الحيصا,Al Hissa,الحيصا,Aakkar,Aakkar,https://www.dglac.gov.lb/en/web/guest/municipalities,https://www.dglac.gov.lb/municipalities,fetched,2026-05-24,Al Hissa,,,,34.5936548,36.0520554,yes,no,,not_found,none_found,not_found,unknown,unknown,not_found,unknown,unknown,unknown,,,,,,,,,no,59,T2_official_channel_gap,,,87,official_website_social_news_search,no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,"""Al Hissa"" municipality Lebanon official website | ""Al Hissa"" municipality complaint form | ""الحيصا"" بلدية شكوى | ""الحيصا"" بلدية الموقع الرسمي","site:facebook.com ""Al Hissa"" municipality | site:facebook.com ""الحيصا"" بلدية | site:instagram.com ""Al Hissa"" municipality | site:x.com ""Al Hissa"" municipality","""Al Hissa"" municipality repair Lebanon | ""الحيصا"" بلدية اصلاح | NNA ""Al Hissa"" municipality | ""Al Hissa"" water electricity waste road Lebanon",0,,,,matched_to_dglac,exact_ar_name_in_governorate,1.000,MOIM-2025-0f3df88abb6d,الحيصا,عكار,عكار,15,30,MOIM-2025-13ac7b33e321,https://moim.gov.lb/wp-content/uploads/2025/07/نتائج-الانتخابات-البلدية2025-محافظة-عكار.pdf,high,missing_verified_official_website|missing_dglac_email|missing_coordinates|no_verified_complaint_workflow|official_social_unknown|no_event_evidence,60,2026-05-29,Official DGLAC detail fetched.,,,,,,,,,,
